breed_name,species,alt_names,origin_country,height,weight,life_span,personality_traits,description,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,hypoallergenic,wikipedia_url,senior_friendly,urban_friendly,family_compatibility_score,social_environment_score,child_friendly_norm,stranger_friendly_norm,dog_friendly_norm,energy_level_norm,vocalisation_norm,affection_level_norm,intelligence_norm,adaptability_norm,senior_friendly_norm,urban_friendly_norm,senior_friendly_label,urban_friendly_label,family_compatibility_label,social_environment_label,breed_cluster,recommendation,recommendation_confidence,multi_cluster_membership,persona_match,persona_explainability_text,heat_tolerance,cold_tolerance,humidity_tolerance,all_weather_adaptability,recommended_climate_types,dietary_sensitivity_level,common_food_allergies,digestion_robustness,obesity_prone,recommended_diet_type,climate_data_source,diet_data_source,guardian_note,Avg monthly_food_cost_inr,Avg exercise_minutes_daily,Avg grooming_hours_monthly,Avg social_interaction_hours_daily,Avg total_daily_time_hours,Avg professional_grooming_cost_monthly,Avg vet_cost_monthly_avg,Avg total_monthly_cost_inr
Labrador Retriever,Dog,Lab,Canada,55-62 cm,25-36 kg,10-12 years,"Outgoing, Even Tempered, Gentle, Intelligent, Agile","One of the most popular breeds, excellent family and service dog.",2.8,5,5,5,5,5,3,5,5,5,5,4,0,https://en.wikipedia.org/wiki/Labrador_Retriever,2.5,3.4,84,84.4,1,1,1,1,0.75,1,1,0.45,0.324324324,0.538461538,Moderate,Good,Excellent,Excellent,Family Dog,Best for families with children; Great for active owners,92,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,1,Minimal (Generally robust),3,High,"Balanced, Weight management",archetype,archetype,"?? VERY HIGH obesity risk: Labs are notorious for food obsession and will eat anything, anytime. They lack 'full' signals and require strict portion control. Overweight Labs develop joint problems (hip/elbow dysplasia) and shortened lifespans. MUST measure food portions precisely - do not free-feed. Requires 1-2 hours daily exercise. Use portion of daily kibble for training treats. Expect significant shedding year-round. Exuberant energy - puppies can be rambunctious and may accidentally knock over small children. Generally healthy breed when properly managed.",7200,120,2,6,8.5,0,1200,9200
Labrastaff,Dog,,United States,43-61 cm,18-36 kg,10-16 years,"Friendly, Loyal, Energetic, Affectionate, Playful",A cross between Labrador Retriever and Staffordshire Bull Terrier.,2.4,4,4,3,4,3,4,4,4,3.67,4,3,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.9,3.4,72,68.2,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.35,0.432432432,0.538461538,Moderate,Good,Good,Good,Active / Outdoor Dog,Great for active owners,80,"Family Dog, Active / Outdoor Dog",Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",6400,75,6,4.5,6.5,900,800,8900
Labsky,Dog,,United States,51-61 cm,20-32 kg,10-14 years,"Friendly, Energetic, Playful, Loyal, Intelligent",A cross between Labrador Retriever and Siberian Husky.,2.6,5,4,3,5,2,3,5,4,4,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.5,2.8,69,63.8,0.75,0.5,0.5,1,0.75,1,1,0.4,0.324324324,0.307692308,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,6100,120,10,6,9,2200,1200,10400
Lagotto Romagnolo,Dog,Italian Water Dog,Italy,41-48 cm,11-16 kg,15-17 years,"Trainable, Loving, Active, Loyal, Keen",An Italian water dog used for truffle hunting.,3.2,3,3,3,4,1,4,4,1,3,3,3,0,https://en.wikipedia.org/wiki/Lagotto_Romagnolo,2.6,3,56,64.6,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.55,0.351351351,0.384615385,Moderate,Moderate,Moderate,Good,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",3200,75,9.5,3,5,4400,800,9200
Lakeland Terrier,Dog,,United Kingdom,33-38 cm,7-8 kg,12-16 years,"Confident, Friendly, Bold, Independent, Intelligent",A small English terrier from the Lake District.,3.2,5,4,3,5,2,5,4,2,4,3,4,0,https://en.wikipedia.org/wiki/Lakeland_Terrier,2.5,2.6,69,61.6,0.75,0.5,0.5,1,0.75,1,0.75,0.55,0.324324324,0.230769231,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,100,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,Needs large open space; not ideal for small flats.,1800,120,7.5,6,9,1500,500,4200
Lancashire Heeler,Dog,,United Kingdom,25-30 cm,3-6 kg,12-15 years,"Alert, Intelligent, Friendly, Happy",A small English herding dog with tan and black coat.,2.6,4,3,3,4,4,4,4,3,3.33,2,2,0,https://en.wikipedia.org/wiki/Lancashire_Heeler,3.2,3,57,59.8,0.5,0.25,0.5,0.75,0.25,0.75,0.75,0.4,0.513513514,0.384615385,Good,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. ?? Herding breed: May attempt to herd children and other pets (nipping at heels). Requires training to prevent this behavior. High energy, needs job or activity.",1100,75,3,4.5,6.5,200,800,2300
Leonberger,Dog,,Germany,65-80 cm,41-77 kg,7-9 years,"Obedient, Fearless, Companionable, Loving, Loyal",A giant German working dog with lion-like mane.,2.6,5,4,3,4,4,1,3,5,4,2,3,0,https://en.wikipedia.org/wiki/Leonberger,3.2,2.5,69,52.8,0.75,0.25,0.5,0.75,0.5,1,0.5,0.4,0.513513514,0.192307692,Good,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Working breeds generally robust),3,Medium,"High-protein, Large-breed formula",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",14000,75,4,6,8,200,3000,18900
Lhasa Apso,Dog,,Tibet,25-28 cm,5-8 kg,12-14 years,"Obedient, Devoted, Alert, Friendly, Steady",A small Tibetan companion dog with long flowing coat.,4.4,4,4,3,4,1,3,4,3,3.67,2,4,0,https://en.wikipedia.org/wiki/Lhasa_Apso,2.6,2.5,64,59.2,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.85,0.351351351,0.192307692,Moderate,Moderate,Good,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Independent, stubborn breed: Bred as watchdog, naturally suspicious of strangers. Can be snappy if not properly socialized. Requires daily grooming to prevent matting of long coat. Professional grooming recommended every 6-8 weeks. Not ideal for families with young children - prefers calm, adult environments. Can be difficult to housebreak. Prone to eye problems and skin issues. Better suited to experienced owners.",1500,75,13,4.5,6.5,3600,1200,6900
Lhasapoo,Dog,,United States,25-38 cm,5-9 kg,10-15 years,"Affectionate, Playful, Intelligent, Friendly, Alert",A cross between Lhasa Apso and Poodle.,3,4,3,3,4,3,4,5,1,3.33,1,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.6,2.4,53,53,0.5,0,0.5,0.75,0.75,0.75,1,0.5,0.351351351,0.153846154,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",1700,75,4,4.5,6.5,600,800,3400
Lowchen,Dog,Little Lion Dog,France,30-36 cm,4-8 kg,13-15 years,"Playful, Friendly, Intelligent, Active, Familial",A small companion dog with traditional lion-like trim.,3.2,5,5,4,4,3,5,4,3,4.67,4,4,0,https://en.wikipedia.org/wiki/L%C3%B6wchen,2.9,3.1,84,71.6,1,0.75,0.75,0.75,0.75,1,0.75,0.55,0.432432432,0.423076923,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children; Great for active owners,82,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",1400,75,5.5,6,8,600,500,2800
Mahratta Greyhound,Dog,,India,56 cm,18-25 kg,10-12 years,"Athletic, Independent, Intelligent, Loyal, Reserved","The Mahratta Greyhound is a sighthound variant from western India. Similar to the Mahratta Hound, used for hunting by nomadic groups. Athletic, fast, and built for endurance.",2,3,3,3,5,1,1,4,2,3,2,2,0,https://en.wikipedia.org/wiki/Indian_dog_breeds,2.5,2.8,48,58,0.5,0.25,0.5,1,0.25,0.5,0.75,0.25,0.324324324,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, soy, grains",3,Low,"High-protein, Easily digestible",archetype,archetype,Needs large open space; not ideal for small flats.,5100,120,11,3,6,5200,3000,14600
Mahratta Hound,Dog,Maratha Hound,India,56 cm,18-25 kg,10-12 years,"Agile, Intelligent, Independent, Loyal, Reserved","The Mahratta Hound is a sighthound from Maharashtra, traditionally used by the Banjara nomadic community for hunting. They are athletic, independent, and built for speed and endurance.",2,3,3,3,5,1,1,4,2,3,2,2,0,https://en.wikipedia.org/wiki/Indian_dog_breeds,2.5,2.8,48,58,0.5,0.25,0.5,1,0.25,0.5,0.75,0.25,0.324324324,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,5100,120,11,3,6,5200,3000,14600
Maltese,Dog,,Malta,20-25 cm,3-4 kg,12-15 years,"Docile, Fearless, Affectionate, Playful, Gentle",An ancient small white companion dog from Malta.,3.2,5,2,4,3,2,3,4,2,4,2,4,0,https://en.wikipedia.org/wiki/Maltese_(dog),3.3,2.7,66,59.6,0.5,0.25,0.75,0.5,0.75,1,0.75,0.55,0.540540541,0.269230769,Good,Moderate,Good,Moderate,Guard / Watch Dog,Good as a guard or alert dog,80,Guard / Watch Dog,Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,"Corn, wheat, soy, artificial additives",3,High,"Small-breed formula, Small kibble",archetype,archetype,"?? Very small breed: Extremely fragile - can be seriously injured by falls, rough play, or being stepped on. Not suitable for families with children under 10. Requires careful handling. Prone to dental issues. Can be difficult to housebreak. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",800,45,7.5,6,7.5,1300,1200,3600
Maltese Shih Tzu,Dog,Malshi,Australia,20-28 cm,3-6 kg,12-14 years,"Playful, Affectionate, Friendly, Gentle, Outgoing",A popular cross between Maltese and Shih Tzu.,3.6,4,3,3,3,2,2,3,1,3.33,3,4,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3,2.8,65,58.8,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.65,0.459459459,0.307692308,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Best for general companionship,58.8,Balanced / General Companion,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,4,"Chicken, wheat, corn, dairy",3,High,"Small kibble, Easily digestible",archetype,archetype,"?? Brachycephalic (flat-faced) breed: Prone to breathing difficulties, heat sensitivity, snoring, dental issues. Cannot tolerate hot weather or strenuous exercise. Requires special care during hot months. Daily facial cleaning needed.",1100,45,6,4.5,6,1400,2000,5000
Maltipoo,Dog,,United States,20-36 cm,2-9 kg,10-13 years,"Affectionate, Intelligent, Gentle, Active, Playful",A mix of Maltese and Poodle.,3.6,5,4,4,3,3,2,4,1,4.33,4,5,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3,3.1,81,69.8,0.75,0.75,0.75,0.5,1,1,0.75,0.65,0.459459459,0.423076923,Moderate,Moderate,Excellent,Good,Family Dog,Best for families with children,81,Family Dog,Family with young children,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children.",3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.,1300,45,4,6,7.5,600,2000,4300
Manchester Terrier,Dog,,United Kingdom,38-41 cm,5-10 kg,14-16 years,"Alert, Keen, Discerning, Devoted, Bright","A small English terrier, the oldest terrier breed.",3,4,3,3,4,5,2,4,3,3.33,3,4,0,https://en.wikipedia.org/wiki/Manchester_Terrier,2.6,2.8,61,61,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.351351351,0.307692308,Moderate,Moderate,Good,Good,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,2,Minimal (Terriers generally hardy),3,Medium,"Balanced, Active formula",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1800,75,1.5,4.5,6.5,0,2000,4200
Mandai SheepHound,Dog,Mandai Sheepdog,India,66-73 cm,32-36 kg,12-15 years,"Protective, Loyal, Hardworking, Alert, Intelligent","The Mandai SheepHound is a large herding and guardian dog from rural India. Used primarily for sheep herding and flock protection. They are hardworking, intelligent, and devoted to their duties.",2,3,3,3,4,2,2,4,3,3,2,3,0,https://en.wikipedia.org/wiki/Indian_dog_breeds,2.6,2.8,52,55,0.5,0.25,0.5,0.75,0.5,0.5,0.75,0.25,0.351351351,0.307692308,Moderate,Moderate,Moderate,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Rare regional Indian herding breed: Large, powerful dog bred for protecting sheep in hilly regions. Protective and territorial. Requires experienced owner. Not suitable for urban/apartment living. Needs space and activity. Limited health and temperament data available. Early socialization important. Better suited to working/rural environments.",8000,75,8.5,3,5,2600,2000,13900
Maremma Sheepdog,Dog,,Italy,60-73 cm,30-45 kg,11-13 years,"Friendly, Loyal, Dignified, Determined, Alert",A large Italian livestock guardian with white coat.,2.4,4,4,4,4,2,5,5,5,4,1,2,0,https://en.wikipedia.org/wiki/Maremma_Sheepdog,3.2,2.9,60,61.2,0.75,0,0.75,0.75,0.25,0.75,1,0.35,0.513513514,0.346153846,Good,Moderate,Good,Good,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,2,Minimal (Active herding breeds),3,Low,"High-protein, Performance diet",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",8900,75,11,4.5,6.5,2700,500,13300
Mastador,Dog,,United States,71-81 cm,45-73 kg,10-12 years,"Friendly, Gentle, Loyal, Protective, Calm",A cross between Mastiff and Labrador Retriever.,2.8,5,5,3,4,4,4,4,4,4.33,3,2,0,https://en.wikipedia.org/wiki/Dog_crossbreed,3.5,3.3,80,66.4,1,0.5,0.5,0.75,0.25,1,0.75,0.45,0.594594595,0.5,Good,Good,Excellent,Good,Family Dog,Best for families with children; Great for active owners,80,"Family Dog, Active / Outdoor Dog",Family with young children; Active outdoor enthusiast,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,3,"Soy, corn",3,Medium,"Large-breed formula, Joint support, Controlled growth",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",14000,75,3.5,6,8,200,800,16500
Mastiff,Dog,English Mastiff,United Kingdom,70-91 cm,54-110 kg,6-10 years,"Good-natured, Affectionate, Dignified, Protective, Calm","One of the largest dog breeds, an ancient guard dog.",2.6,5,5,2,3,3,3,2,3,4,2,2,0,https://en.wikipedia.org/wiki/English_Mastiff,3.9,2.7,80,47.8,1,0.25,0.25,0.5,0.25,1,0.25,0.4,0.702702703,0.269230769,Good,Moderate,Excellent,Moderate,Family Dog,Best for families with children; Good as a guard or alert dog,80,"Family Dog, Guard / Watch Dog",Family with young children; Security-conscious owner,"High child-friendliness, affection, and balanced temperament support safe and positive interactions with children. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",3,3,3,60,Temperate,3,"Soy, Corn",3,High,"Large-breed formula, Joint support",archetype,archetype,"?? Giant breed considerations: Shorter lifespan (7-10 years typical), high food costs, requires controlled growth diet as puppy to prevent joint issues, prone to bloat (feed multiple small meals), needs large living space. ?? Guardian/protective breed: Requires experienced owner, early socialization, and consistent training. Can be territorial and protective of family. Liability insurance recommended. Not suitable for first-time dog owners. Note: High social needs - prone to separation anxiety if left alone frequently. Requires family that can provide significant companionship time.",19400,45,5.5,6,7.5,1700,1200,24500
Miniature Pinscher,Dog,Min Pin,Germany,25-30 cm,4-5 kg,12-16 years,"Clever, Outgoing, Friendly, Energetic, Responsive",A small German terrier-type dog with prancing gait.,3.2,5,3,2,4,5,3,3,2,3.33,3,5,0,https://en.wikipedia.org/wiki/Miniature_Pinscher,2.6,2.3,66,50.6,0.5,0.5,0.25,0.75,1,1,0.5,0.55,0.351351351,0.115384615,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",1100,75,1.5,6,8,0,1200,2500
Miniature Schnauzer,Dog,,Germany,30-36 cm,5-9 kg,12-15 years,"Obedient, Friendly, Intelligent, Spirited, Fearless",A small German terrier with distinctive beard.,4,5,3,3,5,2,3,4,2,3.67,3,3,0,https://en.wikipedia.org/wiki/Miniature_Schnauzer,2.8,2.8,62,67,0.5,0.5,0.5,1,0.5,1,0.75,0.75,0.405405405,0.307692308,Moderate,Moderate,Good,Good,Active / Outdoor Dog,Great for active owners,100,Active / Outdoor Dog,Active outdoor enthusiast,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities.",3,3,3,60,Temperate,2,Minimal (Generally robust),3,Low,Balanced,archetype,archetype,Needs large open space; not ideal for small flats.,1700,120,7.5,6,9,1500,1200,4800
Morkie,Dog,,United States,15-25 cm,2-6 kg,10-13 years,"Playful, Affectionate, Loyal, Energetic, Social",A cross between Maltese and Yorkshire Terrier.,2.4,4,3,2,4,3,4,4,1,3,3,5,0,https://en.wikipedia.org/wiki/Dog_crossbreed,2.3,2.6,61,52.2,0.5,0.5,0.25,0.75,1,0.75,0.75,0.35,0.27027027,0.230769231,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners,80,Active / Outdoor Dog,General pet owner,Balanced temperament and moderate social traits make this breed suitable for a wide range of owners.,3,3,3,60,Temperate,3,"Corn, wheat, chicken (in sensitive individuals)",3,Medium,"Small-breed formula, Small kibble",archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected.",900,75,4,4.5,6.5,600,800,2500
Mountain Cur,Dog,,United States,41-66 cm,14-27 kg,12-16 years,"Intelligent, Energetic, Protective, Brave, Tough",An American working dog used for hunting and herding.,2.2,4,4,3,4,4,5,4,2,3.67,2,3,0,https://en.wikipedia.org/wiki/Mountain_Cur,2.9,2.8,64,55.6,0.75,0.25,0.5,0.75,0.5,0.75,0.75,0.3,0.432432432,0.307692308,Moderate,Moderate,Good,Moderate,Balanced / General Companion,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",4800,75,3,4.5,6.5,200,500,6000
Mountain Feist,Dog,,United States,25-46 cm,4-14 kg,12-18 years,"Intelligent, Energetic, Alert, Brave, Loyal",A small American hunting dog used for treeing game.,2.8,5,3,3,4,5,4,3,3,3.67,2,4,0,https://en.wikipedia.org/wiki/Feist_(dog),2.9,2.2,62,50.4,0.5,0.25,0.5,0.75,0.75,1,0.5,0.45,0.432432432,0.076923077,Moderate,Moderate,Good,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",2100,75,1.5,6,8,0,800,3200
Mudhol Hound,Dog,"Caravan Hound, Kathewar Dog",India,63-73 cm,20-27 kg,13-14 years,"Loyal, Courageous, Intelligent, Reserved, Athletic","The Mudhol Hound is an elegant sighthound from Karnataka, known for their speed, endurance, and loyalty. Used for hunting and now in army trials. They are intelligent, dignified, and devoted to their owners.",3,4,3,3,5,1,1,5,2,3,2,2,0,https://en.wikipedia.org/wiki/Mudhol_Hound,2.8,3.1,53,65,0.5,0.25,0.5,1,0.25,0.75,1,0.5,0.405405405,0.423076923,Moderate,Moderate,Moderate,Good,Active / Outdoor Dog,Great for active owners; Good as a guard or alert dog,90,"Guard / Watch Dog, Active / Outdoor Dog",Active outdoor enthusiast; Security-conscious owner,"High energy levels and strong adaptability make this breed well-suited for hiking, running, and outdoor activities. Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.",5,2,4,76,Tropical,2,Minimal (Generally robust),4,Medium,Balanced,manual_override,manual_override,Great for Indian climate. Tropical-ready. Needs large open space; not ideal for small flats.,4300,120,11,4.5,7.5,5400,3000,14000
Mudi,Dog,,Hungary,38-47 cm,8-13 kg,12-14 years,"Intelligent, Active, Trainable, Alert, Loyal",A rare Hungarian herding dog with wavy coat.,3,4,2,2,4,4,4,4,3,2.67,2,4,0,https://en.wikipedia.org/wiki/Mudi_(dog),2.6,2.5,50,51,0.25,0.25,0.25,0.75,0.75,0.75,0.75,0.5,0.351351351,0.192307692,Moderate,Moderate,Moderate,Moderate,Guard / Watch Dog,Great for active owners; Good as a guard or alert dog,80,"Guard / Watch Dog, Active / Outdoor Dog",Security-conscious owner,Lower stranger tolerance and higher alertness provide natural guarding and watch-dog behavior.,3,3,3,60,Temperate,3,Minimal (Generally robust),3,Medium,Balanced,archetype,archetype,"?? Health considerations: Breed prone to multiple health issues. Recommended: pre-purchase health screening, genetic testing where available, pet insurance, regular veterinary check-ups. Higher than average veterinary costs expected. ?? High grooming maintenance: Requires professional grooming every 4-8 weeks plus regular at-home grooming. Factor in ongoing grooming costs (?1,500-3,000/month). Coat mats easily if neglected.",2500,75,3,4.5,6.5,200,800,3800
